epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1344,4.37966,70.489,3.06317,0,0,0,0,0.95454,28.6033,0.44783,0,0,0
2,22.8997,4.08812,32.1306,3.54967,0,0,0,0,0.92653,28.6071,0.43707,1.9604e-05,1.9604e-05,1.9604e-05
3,32.0425,3.87285,32.5249,2.92255,0,0,0,0,0.91199,28.6193,0.42992,3.8416e-05,3.8416e-05,3.8416e-05
4,40.4818,4.49088,44.7317,3.0693,0,0,0,0,1.00028,28.6849,0.46916,5.6436e-05,5.6436e-05,5.6436e-05
5,49.0554,3.50864,29.0235,3.29711,0,0,0,0,1.1028,28.756,0.51459,7.3664e-05,7.3664e-05,7.3664e-05
6,57.4679,3.26746,46.3833,2.32229,0,0,0,0,1.19176,28.815,0.55387,9.01e-05,9.01e-05,9.01e-05
7,66.4101,4.91986,117.151,2.98143,0,0,0,0,1.39882,28.9378,0.64531,0.000105744,0.000105744,0.000105744
8,77.3373,3.78838,41.2504,2.53265,0,0,0,0,1.44107,28.9707,0.66064,0.000120596,0.000120596,0.000120596
9,86.8448,3.63139,23.452,2.26398,0,0,0,0,1.49892,29.0102,0.68464,0.000134656,0.000134656,0.000134656
10,95.3455,3.03823,22.7756,2.33994,0,0,0,0,1.66102,29.1053,0.75522,0.000147924,0.000147924,0.000147924
11,103.763,3.33195,30.9978,2.24155,0,0,0,0,1.53393,29.035,0.70817,0.0001604,0.0001604,0.0001604
12,112.329,2.41928,24.2128,1.98416,0,0,0,0,1.39993,28.954,0.65909,0.000172084,0.000172084,0.000172084
13,120.773,2.54973,25.9368,1.73717,0,0,0,0,1.26368,28.8736,0.60525,0.000182976,0.000182976,0.000182976
14,128.967,3.67438,14.744,2.55704,0,0,0,0,1.16113,28.8104,0.56521,0.000193076,0.000193076,0.000193076
15,137.22,2.47932,18.1998,1.69562,0,0,0,0,1.27832,28.8588,0.62439,0.000202384,0.000202384,0.000202384
16,145.803,2.71458,24.4542,1.85403,0,0,0,0,1.76088,29.099,0.84279,0.0002109,0.0002109,0.0002109
17,154.609,2.10765,35.4165,1.82457,0,0,0,0,2.05722,29.2354,0.94242,0.000218624,0.000218624,0.000218624
18,162.875,2.74492,18.565,1.81583,0,0,0,0,2.72612,29.5868,1.18162,0.000225556,0.000225556,0.000225556
19,171.614,1.77936,14.2235,1.40631,0,0,0,0,3.55611,30.0582,1.49313,0.000231696,0.000231696,0.000231696
20,180.663,1.90082,10.8919,1.46507,0,0,0,0,3.74262,30.1938,1.57316,0.000237044,0.000237044,0.000237044
21,189.91,3.56293,60.3085,2.10044,0,0,0,0,3.81417,30.2875,1.60437,0.0002416,0.0002416,0.0002416
22,199.12,2.16202,19.6681,1.57183,0,0,0,0,3.93052,30.3912,1.67596,0.000245364,0.000245364,0.000245364
23,209.524,1.61221,15.4761,1.37777,0,0,0,0,3.89282,30.3726,1.67377,0.000248336,0.000248336,0.000248336
24,218.622,2.25662,29.6326,2.11165,0,0,0,0,4.30368,30.5724,1.89254,0.000250516,0.000250516,0.000250516
25,227.508,1.51793,25.3729,1.4193,0,0,0,0,4.16114,30.4706,1.84116,0.000251904,0.000251904,0.000251904
26,236.292,2.28825,21.7938,1.4415,0,0,0,0,4.16799,30.4625,1.86879,0.0002525,0.0002525,0.0002525
27,245.181,1.73074,17.1682,1.22548,0,0,0,0,4.12262,30.422,1.87164,0.000252304,0.000252304,0.000252304
28,255.075,3.06553,22.7698,2.11439,0,0,0,0,3.73549,30.2286,1.67745,0.000251316,0.000251316,0.000251316
29,263.804,1.98907,18.7954,1.44074,0,0,0,0,3.48984,30.1125,1.54509,0.000249536,0.000249536,0.000249536
30,273.866,3.28705,22.1625,2.64342,0,0,0,0,3.24347,29.9978,1.39507,0.000246964,0.000246964,0.000246964
31,283.212,2.04106,25.2587,1.38303,0,0,0,0,3.36294,30.1211,1.43745,0.0002436,0.0002436,0.0002436
32,292.528,2.61048,19.4819,1.61226,0,0,0,0,3.23241,30.0257,1.36942,0.000239444,0.000239444,0.000239444
33,302.101,2.58716,17.9555,1.71507,0,0,0,0,3.39491,30.1063,1.43229,0.000234496,0.000234496,0.000234496
